Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
41,1,1,1102,1,2,2,94,3,2,4,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
49,0,2,279,8,1,3,61,2,2,2,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
37,1,1,1373,2,2,4,92,2,1,3,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
33,0,2,1392,3,4,4,56,3,1,3,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
27,0,1,591,2,1,1,40,3,1,2,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
32,0,2,1005,2,2,4,79,3,1,4,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
59,0,1,1324,3,3,3,81,4,1,1,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
30,0,1,1358,24,1,4,67,3,1,3,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
38,0,2,216,23,3,4,44,2,3,3,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
36,0,1,1299,27,3,3,94,3,2,3,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
35,0,1,809,16,3,1,84,4,1,2,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
29,0,1,153,15,2,4,49,2,2,3,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
31,0,1,670,26,1,1,31,3,1,3,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
34,0,1,1346,19,2,2,93,3,1,4,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
28,1,1,103,24,3,3,50,2,1,3,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
29,0,1,1389,21,4,2,51,4,3,1,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
32,0,1,334,5,2,1,80,4,1,2,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
22,0,0,1123,16,2,4,96,4,1,4,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
53,0,1,1219,2,4,1,78,2,4,4,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
38,0,1,371,2,3,4,45,3,1,4,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
24,0,0,673,11,2,1,96,4,2,3,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
36,1,1,1218,9,4,3,82,2,1,1,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
34,0,1,419,7,4,1,53,3,3,2,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
21,0,1,391,15,2,3,96,3,1,4,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
34,1,1,699,6,1,2,83,3,1,1,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
53,0,1,1282,5,3,3,58,3,5,3,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
32,1,2,1125,16,1,2,72,1,1,1,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
42,0,1,691,8,4,3,48,3,2,2,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
44,0,1,477,7,4,1,42,2,3,4,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
46,0,1,705,2,4,2,83,3,5,1,18947,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
33,0,1,924,2,3,3,78,3,1,4,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
44,0,1,1459,10,4,4,41,3,2,4,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
30,0,1,125,9,2,4,83,2,1,3,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
39,1,1,895,5,3,4,56,3,2,4,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False
24,1,1,813,1,3,2,61,3,1,4,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
43,0,1,1273,2,2,4,72,4,1,3,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
50,1,1,869,3,2,1,86,2,1,3,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
35,0,1,890,2,3,4,97,3,1,4,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
